"","n","mean","sd","median","trimmed","range","skew","kurtosis","se","IRT_difficulty","Chisq","df","p_value","outfitMSQ","infitMSQ","outfitZ","infitZ"
"VB_29",40,0.2,0.405095746833467,0,0.125,1,1.44410304125087,0.0895312500000003,0.0640512615220349,1.38629436111989,39.1965426217333,39,0.461060890665679,0.979913565543332,0.998727316749734,0.022627047351744,0.070443440527578
"VB_40a",38,0.131578947368421,0.342569987450104,0,0.0625,1,2.09432101418459,2.45278687148493,0.0555721902009034,1.88706964903238,24.2474432527718,37,0.947181014735877,0.638090611915048,0.807127674607685,-0.698213643104303,-0.544336626092987
"VB_42",40,0.5,0.506369683541833,0.5,0.5,1,0,-2.049375,0.0800640769025436,0,40.2427992467729,39,0.415027738065861,1.00606998116932,1.00227207718631,0.0993516691937844,0.0553627452837021
"VB_5a",40,0.525,0.505736325340815,1,0.53125,1,-0.0963941041157119,-2.03984492481203,0.0799639341780453,-0.100083458556983,39.9462769517064,39,0.42790292942596,0.99865692379266,0.997139925585315,0.0222466695550181,-0.0043561843384735
"VB_5b",40,0.4,0.496138938356834,0,0.375,1,0.393035065229554,-1.8909375,0.0784464540552736,0.405465108108164,42.8225012013782,39,0.310508109832981,1.07056253003445,1.06635083029214,0.636738655467818,0.689840829374889
"EM_13",40,0.3,0.464095480892257,0,0.25,1,0.840344317187051,-1.32508928571429,0.0733799385705343,0.847297860387204,44.8663514614708,39,0.239394057227573,1.12165878653677,1.12978655820301,0.605006067099819,0.944119767016459
"EM_33b",40,0.525,0.505736325340815,1,0.53125,1,-0.0963941041157119,-2.03984492481203,0.0799639341780453,-0.100083458556983,39.6541295609968,39,0.440726635602534,0.99135323902492,0.997086092657798,-0.0726401499243888,-0.0115323364045005
"EV_11",63,0.349206349206349,0.480548415161132,0,0.313725490196078,1,0.617628093649183,-1.64387696443446,0.0605434094972656,0.622529613345992,73.2957506761307,62,0.154420145155768,1.16342461390684,1.1028585662761,1.12212150338146,0.958742320252477
"EV_12b",100,0.31,0.464823198711732,0,0.2625,1,0.809339983552127,-1.3582523141655,0.0464823198711732,0.800119300112113,116.374336181865,97,0.0877069272287446,1.18749322634556,1.11548132167376,1.52348897670105,1.28504301769655
"EV_21",100,0.33,0.472581562625261,0,0.2875,1,0.712258002894012,-1.50746417910448,0.0472581562625261,0.708185057924486,105.027440575435,96,0.248283703678973,1.08275711933439,1.09759626855466,0.767818172809806,1.19406237474103
"EV_22a",97,0.144329896907216,0.353249519982261,0,0.0632911392405063,1,1.99294482277978,1.992690010608,0.035867054544928,1.77978327818134,94.9561864150171,93,0.424159568798269,1.01017219590444,0.952483910511042,0.12713272701426,-0.199073413447437
"EV_25",101,0.0693069306930693,0.255242071084461,0,0,1,3.34136750795211,9.25668024083698,0.0253975353235261,2.59738463321469,93.5178042999665,97,0.581226094448769,0.954263309183332,0.937097936288305,-0.00166443763578128,-0.108665650576795
"EV_35a",99,0.0707070707070707,0.257639411538814,0,0,1,3.2988480647405,8.97334344765175,0.0258937351297639,2.57587842799373,96.5496198403588,96,0.465056167589258,0.99535690557071,0.92405128855008,0.114940539731143,-0.15688026360752
"EV_8c",100,0.32,0.468826172262151,0,0.275,1,0.760196467446177,-1.43616397058824,0.0468826172262151,0.75377180237638,99.6197353127073,97,0.407414940929061,1.01652791135416,0.991230015177159,0.192876172332957,-0.075100697935032
"FN_26b",39,0.230769230769231,0.426832794918354,0,0.181818181818182,1,1.22918116553696,-0.49997808459347,0.0683479474337414,1.20397280432594,31.8026552888066,36,0.668528427955377,0.8595312240218,0.913859243964506,-0.38204965350627,-0.427697832738665
"HB_22a",98,0.112244897959184,0.31729049622439,0,0.025,1,2.41922416141131,3.89267805516423,0.0320511802123301,2.06801284585621,87.5829375927322,97,0.742486003840064,0.893703444823798,0.987393064631517,-0.21564248074094,0.0195446376016121
"HB_24b1",99,0.363636363636364,0.483493778415228,0,0.333333333333333,1,0.558378336688294,-1.70513212937455,0.0485929530749863,0.559615787935423,102.065239992588,97,0.342664528027994,1.0414820407407,1.02477896044411,0.454388715951583,0.356846247833452
"HB_24b2",100,0.36,0.482418151324422,0,0.325,1,0.574605244929073,-1.68639375,0.0482418151324422,0.575364144903562,121.179168749155,97,0.0488002089928909,1.23652213009342,1.17048747686109,2.30317574363738,2.20752920549384
"HB_34",100,0.28,0.451260859854213,0,0.225,1,0.965295328606003,-1.07869285714286,0.0451260859854213,0.944461608840851,108.60139297582,97,0.197859133773741,1.1081774793451,1.03995300098117,0.831288776710855,0.434947249750903
"HB_35",99,0.202020202020202,0.403550517278664,0,0.135802469135802,1,1.46187348746141,0.138780982049107,0.0405583530232473,1.37371557891303,99.4615947394813,94,0.330229292354606,1.04696415515244,0.989547097359594,0.299257116451465,-0.031398440708178
"HB_42a",98,0.275510204081633,0.449068044000267,0,0.225,1,0.989600959960475,-1.03089800002911,0.0453627227323954,0.966843011036987,88.4611003214048,94,0.641808005664743,0.931169477067419,0.948207313097195,-0.437828295187637,-0.490619201369021
"HB_42b",97,0.670103092783505,0.472617919248204,1,0.708860759493671,1,-0.712412482876277,-1.507693942788,0.0479870791882094,-0.70865136709591,102.424790566775,95,0.283218275393526,1.06692490173724,1.05025690075238,0.617038976979048,0.585136160971565
"HB_43",100,0.25,0.435194139889245,0,0.1875,1,1.13742340401453,-0.7131,0.0435194139889245,1.09861228866811,96.7990233878176,98,0.515333986121189,0.977767913008258,1.00457192885157,-0.0898404477894917,0.0780463600505601
